"condition","title","phase","sponsor","sponsor_class"
"Depression/TRD","A Randomized, Open-label, Rater-Blinded, Active-Controlled, International, Multicenter Study to Evaluate the Efficacy, Safety, and Tolerability of Flexibly Dosed Esketamine Nasal Spray Compared With Quetiapine Extended-Release in Adult and Elderly Participants With Treatment-Resistant Major Depressive Disorder Who Are Continuing a Selective Serotonin Reuptake Inhibitor/Serotonin-Norepinephrine Reuptake Inhibitor","PHASE3","Janssen-Cilag International NV","INDUSTRY"
"Depression/TRD","Ketamine for Treatment Resistant Late-Life Depression","PHASE3","VA Office of Research and Development","FED"
"Depression/TRD","D-cycloserine for Relapse Prevention Following Intravenous Ketamine in Treatment-resistant Depression","PHASE4","Sheba Medical Center","OTHER_GOV"
"Depression/TRD","A Multicenter, Randomized, Double-Blind, Active Controlled, Comparative, Fixed-Dose, Dose Response Study of the Efficacy and Safety of BMS-820836 in Patients With Treatment Resistant Major Depression (TRD).","PHASE2","Bristol-Myers Squibb","INDUSTRY"
"Depression/TRD","An Open-Label Tolerance Study of Three Dosing Regimens of Dextromethorphan (DXM) Reportedly Used in Major Depressive Disorder","PHASE1","Johns Hopkins University","OTHER"
"Depression/TRD","Portable Transcranial Magnetic Stimulation (TMS) in a Van for Treatment-Resistant Depression","PHASE4","Medical University of South Carolina","OTHER"
"Depression/TRD","Pilot Study of Feasibility of the Effect of Treatment With tDCS in Patients Suffering From Resistant Depression","PHASE2","Centre Hospitalier Universitaire de Besancon","OTHER"
"Depression/TRD","An Interventional, Open-label, Single Arm, Multicenter Study to Evaluate the Efficacy and Safety of Esketamine Nasal Spray in Korean Participants With Treatment-Resistant Depression(TRD)","PHASE4","Janssen Korea, Ltd., Korea","INDUSTRY"
"Depression/TRD","Characterization of Comorbid Post-traumatic Stress Disorder and Major Depressive Disorder Utilizing Ketamine as an Experimental Medicine Probe","PHASE1","University of Minnesota","OTHER"
"Depression/TRD","Effects of Psilocybin With Psychological Support on Anhedonia in Treatment-resistant Depression: a Randomized Controlled Pilot Trial","PHASE2","University of Colorado, Denver","OTHER"
"Depression/TRD","5-hydroxytryptophan and Creatine for Treatment Resistant Depression Associated With Hypoxia in Females","PHASE4","Perry Renshaw","OTHER"
"Depression/TRD","A Three-phase Study Designed to Test the Efficacy, Tolerability and Safety of the Combination of Ziprasidone With Selective Serotonin Reuptake Inhibitors (SSRI) for Patients With Major Depressive Disorder (MDD) That do Not Sufficiently Respond to Treatment With SSRIs.","PHASE2","Massachusetts General Hospital","OTHER"
"Depression/TRD","A Clinical Trial to Evaluate the Safety and Efficacy of Fecal Microbiota Transplantation in a Population With Major Depressive Disorder","PHASE2","University of Calgary","OTHER"
"Depression/TRD","A Randomized, Double-blind, Multicenter, Active-Controlled Study of Intranasal Esketamine Plus an Oral Antidepressant for Relapse Prevention in Treatment-resistant Depression","PHASE3","Janssen Research & Development, LLC","INDUSTRY"
"Depression/TRD","Central Versus Peripheral GABA and Glutamate Biomarkers for Treatment Response During Two Infusions of Intravenous Ketamine for Treatment-Resistant Depression","EARLY_PHASE1","Mayo Clinic","OTHER"
"Depression/TRD","Clinical Trial of the Use of Ketamine in Treatment Resistant Depression","PHASE4","National Institute of Neurology and Neurosurgery, Mexico","OTHER"
"Depression/TRD","A Phase 2, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of NV-5138 in Adults With Treatment Resistant Depression","PHASE2","Navitor Pharmaceuticals, Inc.","INDUSTRY"
"Depression/TRD","A Randomised, Controlled Trial to Investigate the Effect of a Sixweek Intensified Pharmacological Treatment for Major Depressive Disorder Compared to Treatment as Usual in Subjects Who Had a First-time Treatment Failure on Their First-line Treatment.","PHASE3","Dr. Inge Winter","OTHER"
"Depression/TRD","Salicylic Augmentation in Depression","PHASE2","Jessica Harder","OTHER"
"Depression/TRD","Sequenced Treatment Alternatives to Relieve Depression","PHASE4","National Institute of Mental Health (NIMH)","NIH"
"Depression/TRD","Olanzapine Augmentation Therapy in Treatment-resistant Depression: a Double-blind Placebo-controlled Trial","PHASE3","University Hospital Freiburg","OTHER"
"Depression/TRD","Ketamine Plus Lithium as a Novel Pharmacotherapeutic Strategy in Treatment-Resistant Depression","PHASE2","Icahn School of Medicine at Mount Sinai","OTHER"
"Depression/TRD","A Study to Assess the Long-Term Efficacy and Safety of Olanzapine and Fluoxetine Combination Versus Fluoxetine Only in the Relapse Prevention of Stabilized Patients With Treatment-Resistant Depression","PHASE3","Eli Lilly and Company","INDUSTRY"
"Depression/TRD","A Naturalistic Study of Serial Infusion of Low-dose Ketamine for Treatment Resistant Depressive Disorders in an Academic Psychiatric Hospital: The UTHealth Ketamine Project","PHASE2","The University of Texas Health Science Center, Houston","OTHER"
"Depression/TRD","Ketamine Frequency Treatment for Major Depressive Disorder","PHASE4","Essentia Health","OTHER"
"Depression/TRD","Epidural Stimulation for Resistant Depression Treatment: A Randomized Double Blind Clinical Trial","PHASE2","University of Brasilia","OTHER"
"Depression/TRD","A Randomized, Double-Blind, Placebo-Controlled, Multiple Ascending Dose, Safety, Tolerability, Pharmacokinetic and Pharmacodynamic Study of BCI 838 in Healthy Adult Subjects","PHASE1","BrainCells Inc.","INDUSTRY"
"Depression/TRD","A Randomized, Double-Blind Controlled Comparison of NRX-101 vs. Placebo for Adults Being Treated With Transcranial Magnetic Stimulation for Treatment Resistant Depression","PHASE2","NeuroRx, Inc.","INDUSTRY"
"Depression/TRD","Phase IB Study of Efficacy and Safety of Oxytocin and Tibolone Adjuncts in Treatment Resistant Depression","PHASE1","The Alfred","OTHER"
"Depression/TRD","Buprenorphine for Late-Life Treatment Resistant Depression","PHASE2","University of Pittsburgh","OTHER"
"Depression/TRD","Ketamine Enhancement of rTMS for Refractory Depression","PHASE4","University of Cincinnati","OTHER"
"Depression/TRD","Precision Medicine With Ketamine for Older Adults With Treatment-resistant Depression: Pilot Study","PHASE4","Washington University School of Medicine","OTHER"
"Depression/TRD","A Randomized, Double-Blind, Placebo-Controlled, Multiple-Dose Study of ALA-3000, Evaluating the Safety, Tolerability, Pharmacokinetics and Preliminary Efficacy in Subjects With Treatment-Resistant Depression (TRD)","PHASE1","Alar Pharmaceuticals Inc.","INDUSTRY"
"Depression/TRD","A Double-blind, Randomized, Placebo-controlled, Parallel Group, Dose Frequency Study of Ketamine in Subjects With Treatment-resistant Depression","PHASE2","Janssen Research & Development, LLC","INDUSTRY"
"Depression/TRD","A Comparison Study of Combined ECT and Risperidone Versus ECT Alone for Treatment Resistant Depression.","PHASE4","University of California, Los Angeles","OTHER"
"Depression/TRD","Dasatinib Plus Quercetin for Accelerated Aging in Mental Disorders","PHASE2","Washington University School of Medicine","OTHER"
"Depression/TRD","A Randomized, Double-Blind, Parallel Group, Active- and Placebo-Controlled Study to Assess the Efficacy and Safety of JNJ26489112 in Adult Subjects With Treatment-Resistant Major Depressive Disorder","PHASE2","Janssen Research & Development, LLC","INDUSTRY"
"Depression/TRD","Psilocybin for Treatment-Resistant Depression in Autism: a Pilot Trial With Pre-Post Brain and Cognitive Measurement to Understand Mechanism","PHASE1","Centre for Addiction and Mental Health","OTHER"
"Depression/TRD","The Safety and Efficacy of Psilocybin in Participants With Treatment Resistant Depression","PHASE2","COMPASS Pathways","INDUSTRY"
"Depression/TRD","Central and Peripheral GABA and Glutamate Modulation With Intravenous Ketamine for Treatment-Resistant Depression (G2K): A Randomized, Double-Blind, Placebo-Controlled Study","PHASE2","Mayo Clinic","OTHER"
"Depression/TRD","Efficacy and Safety of Repeated Intravenous Subanesthetic Ketamine Infusions Among Veterans With Treatment Resistant Depression Comorbid With Chronic Post-Traumatic Stress Disorder: A Proof-of-concept Study","PHASE1","Minneapolis Veterans Affairs Medical Center","FED"
"Depression/TRD","Functional Magnetic Resonance Imaging of Patients Receiving Intravenous Ketamine for Treatment Resistant Bipolar Depression","PHASE2","Brian Barnett","OTHER"
"Depression/TRD","An Open-Label Clinical Trial of Simultaneous Administration of Oral Aspirin and Ketamine as Adjunct to Oral Antidepressant Therapy in Treatment-Resistant Depression","PHASE4","Maimonides Medical Center","OTHER"
"Depression/TRD","Comparative Efficacy of Antidepressant Augmentation With Amantadine vs Pramipexole vs Quetiapine in Treatment-resistant Unipolar Depression: A Randomized Controlled Trial.","PHASE4","All India Institute of Medical Sciences, Bhubaneswar","OTHER"
"Depression/TRD","Clinical Predictors of Intravenous Ketamine Response in Treatment-Resistant Depression: A Randomized, Double-Blind, Midazolam-Controlled Pilot Study","PHASE3","Abraham Nunes","OTHER"
"Depression/TRD","A Phase III, Multicentre, Randomised, Double-blind, Controlled Study to Investigate the Efficacy, Safety, and Tolerability of Two Administrations of COMP360 in Participants With Treatment-resistant Depression","PHASE3","COMPASS Pathways","INDUSTRY"
"Depression/TRD","PEMF Treatment in Patients With Treatment Resistant Depression in On-going Antidepressant Drug Therapy. A Randomized, Double-blind, Clinically Controlled, Dose-response PEMF Trial for a Duration of Eight Weeks","PHASE3","Hillerod Hospital, Denmark","OTHER"
"Depression/TRD","Reclaim Deep Brain Stimulation Clinical Study for Treatment-Resistant Depression","PHASE2","MedtronicNeuro","INDUSTRY"
"PTSD","Lofexidine Combined With Buprenorphine for Reducing Symptoms of Post-Traumatic Stress Disorder (PTSD) and Opioid Use Relapse in Veterans","PHASE2","Pharmacotherapies for Alcohol and Substance Use Disorders Alliance","OTHER"
"PTSD","The Efficacy of Virtual Reality (VR) as an Adjunct Therapy for Acute Combat-related Post-Traumatic Stress Disorder (PTSD) in Non-Combatants","PHASE1","Office of Naval Research (ONR)","FED"
"PTSD","Integration of Cognitive Processing Therapy and Relapse Prevention for Alcohol Use Disorder and Co-Occurring PTSD: A Randomized Clinical Trial","PHASE2","Texas A&M University","OTHER"
"PTSD","A Pilot Mechanistic RCT of Psilocybin With Mindfulness-based Therapy vs Support for Posttraumatic Stress Disorder (PTSD)","PHASE2","Anthony P King","OTHER"
"PTSD","Comparing Standard vs. Modified Reconsolidation Blockade for the Treatment of Psychological Trauma: A Randomized Controlled Trial","PHASE2","Douglas Mental Health University Institute","OTHER"
"PTSD","Identifying Biobehavioral Predictors and Targeting Mechanisms of Intervention in Adolescent Posttraumatic Stress Disorder","EARLY_PHASE1","Medical University of South Carolina","OTHER"
"PTSD","Deep Brain Therapy With Low-intensity Ultrasound for Treatment of Post-traumatic Stress Disorder","PHASE1","University of Utah","OTHER"
"PTSD","A Double-Blind, Placebo-Controlled, Flexible-Dose Pilot Clinical Trial of Once-Daily Extended-Release Tramadol for the Treatment of PTSD","PHASE4","INTRuST, Post-Traumatic Stress Disorder - Traumatic Brain Injury Clinical Consortium","OTHER"
"PTSD","Intervention for Disabling Anxiety in Older Adults Injured by Falls","PHASE1","Weill Medical College of Cornell University","OTHER"
"PTSD","Testing the Efficacy of a Mindfulness- and Acceptance-Based Smartphone App Intervention for College Student Veterans With Posttraumatic Stress Disorder (PTSD): A Randomized Controlled Trial","PHASE1","University of Nevada, Las Vegas","OTHER"
"PTSD","A Randomized, Double-Blind, Active Placebo-Controlled Phase 2 Pilot Study of MDMA-assisted Psychotherapy in People With Chronic, Treatment-Resistant Posttraumatic Stress Disorder (PTSD)","PHASE2","Lykos Therapeutics","INDUSTRY"
"PTSD","An Open-label Study of ALTO-100 in Adults With Major Depressive Disorder and/or Post-traumatic Stress Disorder","PHASE2","Alto Neuroscience","INDUSTRY"
"PTSD","Preliminary Study About the Efficacy of an α1 Blocker (Prazosin) in Preventing the Occurrence of Post-traumatic Stress Disorder (PTSD) in Patients With Acute Stress","PHASE2","Hospices Civils de Lyon","OTHER"
"PTSD","Alpha-Amino-3-Hydroxy-5-Methyl-4- Isoxazole Propionic Acid Receptor Components of the Anti-Depressant Ketamine Response","PHASE1","Yale University","OTHER"
"PTSD","A Randomized, Double-Blind, Placebo-Controlled, Multi-Site Phase 3 Study of the Efficacy and Safety of Manualized MDMA-Assisted Psychotherapy for the Treatment of Severe Posttraumatic Stress Disorder","PHASE3","Lykos Therapeutics","INDUSTRY"
"PTSD","Maintenance Phase Treatment With Divalproex for Post Traumatic Stress Disorder","PHASE4","Tuscaloosa Research & Education Advancement Corporation","OTHER"
"PTSD","Cognitive Processing Therapy Versus Sertraline for the Treatment of Post-traumatic Stress Disorder & Substance Use Disorder Egyptian Patients","PHASE1","British University In Egypt","OTHER"
"PTSD","Characterization of Comorbid Post-traumatic Stress Disorder and Major Depressive Disorder Utilizing Ketamine as an Experimental Medicine Probe","PHASE1","University of Minnesota","OTHER"
"PTSD","Cannabidiol as an Adjunctive to Prolonged Exposure for the Treatment of PTSD","PHASE2","VA Office of Research and Development","FED"
"PTSD","The Impact of AMPA Receptor Blockade on Ketamine's Anti-Suicidal Effects","PHASE2","Yale University","OTHER"
"PTSD","The Efficacy of Traumatic Memory Modification Using a Memory Reconsolidation Procedure Under Propranolol Among Adolescents With Post-traumatic Stress Disorder","PHASE2","Rennes University Hospital","OTHER"
"PTSD","Diagnostic Testing of Post-Traumatic Stress Disorder (PTSD) Using the Senseye Diagnostic Tool in Adults : United States, Australia, and Decentralized Trial (DCT) Protocol","PHASE3","Senseye, Inc.","INDUSTRY"
"PTSD","Evaluation of the H-Coil Transcranial Magnetic Stimulation (TMS) Device- Treatment for Post Traumatic Stress Disorder","PHASE1","Hadassah Medical Organization","OTHER"
"PTSD","MDMA-assisted Brief Cognitive Behavioral Conjoint Therapy for PTSD","PHASE3","Dr. Leslie Morland","FED"
"PTSD","Improving Quality-of-life and Depressive Symptoms for OEF/OIF Combat Veterans: Assessing the Benefits of Interactive, Internet-based Psychotherapy and Peer-to-peer Support","PHASE1","Prevail Health Solutions, LLC","INDUSTRY"
"Bipolar","26 Week Open Label Extension Study Evaluating The Safety And Tolerability Of Flexible Doses Of Oral Ziprasidone In Children And Adolescents With Bipolar I Disorder (Manic Or Mixed)","PHASE3","Pfizer's Upjohn has merged with Mylan to form Viatris Inc.","INDUSTRY"
"Bipolar","Efficacy of Olanzapine Monotherapy for Treatment Bipolar Ⅰ Depression: a Randomized, Double-blind, Placebo Controlled Study","PHASE4","China Medical University, China","OTHER"
"Bipolar","A Phase II Study of Bipolar Androgen-based Therapy for Men With Androgen Ablation NaÃ-ve Recurrent Prostate Cancer","PHASE2","Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins","OTHER"
"Bipolar","Acceptability & Safety of Two Sequential Doses of Psilocybin in Bipolar Disorder II Depression and Suicidality","PHASE2","The University of Texas Health Science Center, Houston","OTHER"
"Bipolar","Exploring Alterations of Central Autonomic Modulation in Patients With Bipolar Depression","PHASE4","Seoul National University Bundang Hospital","OTHER"
"Bipolar","Randomized Trial of a Smoking Cessation Program for Persons With SMI","PHASE2","US Department of Veterans Affairs","FED"
"Bipolar","Functional Connectivity in Mood Regulating Circuit In Bipolar Depression and Mania Before and After Lithium Treatment: An Brain fMRI Study","PHASE4","Indiana University School of Medicine","OTHER"
"Bipolar","A Phase 2, Multicenter, Randomized, Double-Blind, Parallel-Arm Study to Investigate the Efficacy and Safety of Adjunctive Treatment With Brenipatide in Delaying Time to Relapse Compared With Placebo in Adult Participants With Bipolar Disorder (RENEW-Bipolar-1)","PHASE2","Eli Lilly and Company","INDUSTRY"
"Bipolar","Inositol for Comorbid Anxiety in Children and Adolescents With Bipolar Disorder","PHASE1","Ronald M. Glick, MD","OTHER"
"Bipolar","Phase II/III Study of FK949E: Placebo-controlled, Double-blind, Parallel-group Comparative Study and Open-label, Non-controlled Extension Study in Bipolar Disorder Patients With Major Depressive Episodes","PHASE2","Astellas Pharma Inc","INDUSTRY"
"Bipolar","NO TITLE","PHASE3","AstraZeneca","INDUSTRY"
"Bipolar","Open-Label Comparative Study of Risperidone Versus Olanzapine for Mania in Preschool Children 4 to 6 Years of Age With Bipolar Spectrum Disorder","PHASE4","Massachusetts General Hospital","OTHER"
"Bipolar","Alpha-Amino-3-Hydroxy-5-Methyl-4- Isoxazole Propionic Acid Receptor Components of the Anti-Depressant Ketamine Response","PHASE1","Yale University","OTHER"
"Bipolar","Evaluation of the H-Coil (TMS) Device - Safety and Feasibility in Bipolar Depression","PHASE1","Shalvata Mental Health Center","OTHER"
"Bipolar","Pentoxifylline for Bipolar Depression: A Proof-of-Concept Feasibility Study","EARLY_PHASE1","University Health Network, Toronto","OTHER"
"Bipolar","Comparative Effectiveness of a Second Generation Antipsychotic Mood Stabilizer And a Classic Mood Stabilizer for Bipolar Disorder","PHASE4","Massachusetts General Hospital","OTHER"
"Bipolar","A Double-Blind, Placebo-Controlled Trial of Seroquel for the Treatment of Dysphoric Hypomania in Bipolar II Patients","PHASE4","Stanford University","OTHER"
"Bipolar","Comparative Safety, Tolerability, and Effectiveness of Lithium Versus Quetiapine in Patients Across the Spectrum of Bipolar Disorder","PHASE4","University Hospitals Cleveland Medical Center","OTHER"
"Bipolar","A Double-blind, Oral, Multiple-dose, Parallel, Randomized Study to Evaluate Efficacy and Safety of Endoxifen in Bipolar I Disorder Patients","PHASE3","Jina Pharmaceuticals Inc.","INDUSTRY"
"Bipolar","Depakote ER Therapy for Mania Comorbid With Substance Abuse","PHASE4","Creighton University","OTHER"
"Bipolar","MBCT for Perinatal Women With Mood Disorders","PHASE1","University of California, Los Angeles","OTHER"
"Bipolar","NO TITLE","PHASE3","Otsuka Pharmaceutical Development & Commercialization, Inc.","INDUSTRY"
"Bipolar","Study of FK949E - An Open-label, Two-way Crossover Study to Evaluate the Effects of Switching Different Strength Forms of FK949E in Bipolar Disorder Patients With Major Depressive Episodes","PHASE3","Astellas Pharma Inc","INDUSTRY"
"Bipolar","The Impact of AMPA Receptor Blockade on Ketamine's Anti-Suicidal Effects","PHASE2","Yale University","OTHER"
"Bipolar","A Single-Dose Comparative Bioavailability Study of Two Formulations of Divalproex Sodium 500 mg Delayed Release Tablets Under Fasting Conditions","PHASE1","Sandoz","INDUSTRY"
"Bipolar","Cognitive Training to Improve Work Outcomes in Severe Mental Illness","PHASE2","University of California, San Diego","OTHER"
